
============================================================
[FPGA] ZDMA DDR-to-IP log started at 1781911494
============================================================
[FPGA][INFO] ready version=zcu104-gemma3-q8-zdma-ddr-to-ip-v1 path=dma(default) rows=256 col_beats=32 cols=512 packed_q8=1 max_group_blocks=16 result_words=1024 weight_cache=0 profile_log=1 dma_detail=0 ip_detail=0 detail_every=0 flush_every=256
[FPGA][INFO] msync unsupported for ddr_high source=/dev/uio13(ddr_high,O_SYNC) errno=22 (Invalid argument); continuing with CPU barriers/O_SYNC mapping assumption
[FPGA][INFO] basic ZDMA-to-IP self-test result=32 expected=32
[FPGA][INFO] packed ZDMA-to-IP self-test results=[32,64,-32,192] expected=[32,64,-32,192]
[FPGA][INFO] multi-group ZDMA-to-IP self-test results=[1152.0,2304.0] expected=[1152.0,2304.0] vpu_runs=3
[FPGA][MATMUL] tensor=blk.0.attn_q.weight layer=0 pos=0 phase=prefill M=2 K=1152 N=1024 rows=256 col_beats=32 vpu_runs=24 io_ms=3.886 ip_ms=2.539 total_ms=26.444 status=OK
[FPGA][MATMUL] tensor=blk.0.attn_k.weight layer=0 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.970 ip_ms=0.634 total_ms=6.610 status=OK
[FPGA][MATMUL] tensor=blk.0.attn_v.weight layer=0 pos=0 phase=prefill M=2 K=1152 N=256 rows=256 col_beats=32 vpu_runs=6 io_ms=0.968 ip_ms=0.634 total_ms=6.603 status=OK
[FPGA][INFO] attention path is currently bypassed to CPU; FPGA timing log below only covers Q8_0 matmul/GEMV hooks
[FPGA][MATMUL] tensor=blk.0.attn_output.weight layer=0 pos=0 phase=prefill M=2 K=1024 N=1152 rows=256 col_beats=32 vpu_runs=20 io_ms=3.253 ip_ms=2.271 total_ms=24.888 status=OK
[FPGA][MATMUL] tensor=blk.0.ffn_gate.weight layer=0 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.116 ip_ms=17.127 total_ms=177.561 status=OK
[FPGA][MATMUL] tensor=blk.0.ffn_up.weight layer=0 pos=0 phase=prefill M=2 K=1152 N=6912 rows=256 col_beats=32 vpu_runs=162 io_ms=26.134 ip_ms=17.144 total_ms=177.751 status=OK
[FPGA][MATMUL] tensor=blk.0.ffn_down.weight layer=0 pos=0 phase=prefill M=2 K=6912 N=1152 rows=256 col_beats=32 vpu_runs=140 io_ms=22.443 ip_ms=15.537 total_ms=165.736 status=OK
